uni,n,k,date,p,V_full,V_flat,V_proj,rot_cv,ctl_relexc,lam_spread
large,252,5,2024-05-01,495,0.09116721920392111,0.08758941688094642,0.10750472315344396,0.03888116026956332,0.20128810893258642,9.392800729282998
large,252,5,2024-06-03,496,0.09705714481765508,0.08938660993569932,0.09051265579138217,0.09129314241340884,-0.28928238632782644,9.184394089216465
large,252,5,2024-07-01,496,0.10311631035853713,0.09948955955794156,0.10886474078366375,0.04191956565073732,0.029835498652267978,9.509063553347655
large,252,5,2024-08-01,496,0.12308225080017833,0.12995878825844398,0.14425193134125117,0.04709464523115119,0.17840384598196968,10.600499341621262
large,252,5,2024-09-03,496,0.08048814721098431,0.08153647369232271,0.0773594085432378,0.024639566114964952,0.10576435676579621,11.91841518114208
large,252,5,2024-10-01,496,0.08420690489092855,0.08552096803192821,0.10430980867223782,0.0421017770409705,0.04768382858789155,11.082651465414404
large,252,5,2024-11-01,497,0.10815663500096961,0.10653683132451784,0.13747026010426744,0.03738305502612097,0.00640281597571124,9.472527128084819
large,252,5,2024-12-02,497,0.07825942385614289,0.07873467843972778,0.08839037259047132,0.01649853379524324,0.48910391170068745,8.23264673531096
large,252,5,2025-01-02,497,0.12676677289166297,0.12087134199399138,0.1227179517272528,0.04378226631190032,-0.013253675026905554,8.60529944818633
large,252,5,2025-02-03,497,0.1099627876708943,0.10623845433250992,0.10629897282027928,0.025817854614758894,-0.21178999235926355,8.249187150634798
large,252,5,2025-03-03,497,0.10657845827230199,0.1046704301463569,0.1002311815627221,0.015618088108991785,0.47529693888562474,8.339580613866307
large,252,5,2025-04-01,499,0.3067235955962793,0.31060291147672586,0.29840808128039253,0.01615514012987973,0.301638343083676,9.16642243954763
large,252,5,2025-05-01,499,0.14193683383896935,0.1261987876460506,0.16214298757318948,0.0747140671692262,0.045456316399151264,16.79398676306101
large,252,5,2025-06-02,499,0.07004006264876521,0.06385793101673869,0.10266647263105991,0.040604430773992665,0.44917916789847867,17.589399183112427
large,252,5,2025-07-01,499,0.07653265697737689,0.07109444045671472,0.11934651317201801,0.04868166741875677,0.33668043371106804,17.606940701974878
large,252,5,2025-08-01,499,0.10806337315726888,0.1020656173113703,0.11564814635187104,0.06165813110432116,-0.014662718582638012,17.34135288147087
large,252,5,2025-09-02,499,0.08123492564402494,0.07517477244693255,0.09679445890011729,0.05929332769376634,0.04427984170925181,16.052160377212427
large,252,5,2025-10-01,499,0.07710113965320396,0.07433863444398416,0.0962357886813387,0.03856331522673683,0.4082988485592407,14.736679928367195
large,252,5,2025-11-03,499,0.11305414207417834,0.11629471313137218,0.11060130190323918,0.05061528358880972,0.04663745398595709,15.428786081556236
